WORD,HYPERONYMS,TEXT
ЛЖЕСВИДЕТЕЛЬ,Свидетель,"Свидетель — Лицо, являющееся очевидцем преступления, либо свидетелем дающее ложные показания в протоколе."
ЛЖЕСВИДЕТЕЛЬ,Очевидец,Очевидец это человек находившийся во время преступления
ЛЖЕТЕРРОРИСТ,Обманщик,"Лжетеррорист это человек использующий средства удалённой связи для запугивания жертв, чтобы получить выгоду путём обмана"
ЛЖЕТЕРРОРИСТ,Хулиган,"Лжетеррорист — Человек нарушающий закон, являющийся преступником в жизни общества."
ЛЖЕТЕРРОРИСТ,Вредитель,"Лжетеррорист — Нарушает покой граждан, вредит мирной обстановке посредством угроз прямых или косвенных"
ЛЖЕТЕРРОРИСТ,Нарушитель,"Лжетеррорист — Нарушает покой граждан, вредит мирной обстановке посредством угроз прямых или косвенных"
ЛЖЕТЕРРОРИСТ,Преступник,"Лжетеррорист — человек являющийся преступником, впоследствии негативных действий"
ЛИВЕР,Паштет,Ливер это Внутренности годные для приготовления паштетов. Пирог с ливером.
ЛИВЕР,Печёнка,Ливер — liver - печенка) (кулин.) печень — идет на приготовление паштетов
ЛИВЕР,Печень,Ливер — печень — идет на приготовление паштетов
ЛИВЕР,Внутренности,"Ливер это съедобные внутренности - легкое, сердце и селезенка - убойных животных, особенным образом приготовленные для еды. Пирог с ливером."
ЛИВЕР,Органы,"Ливер — состав ливера входят такие органы как: печень, почки, сердце, лёгкие, диафрагма, трахея в их естественном соединении. "
ЛИГАТУРА,Знак фонетической транскрипции,"Лигатура — Знак любой системы письма или фонетической транскрипции, образованный путём соединения двух и более графем."
ЛИГАТУРА,Вспомогательный сплав,Лигатура это примесь меди или олова к золоту и серебру для придания им большей твердости (хим.). В серебре 84-й пробы 12 долей лигатуры.
ЛИГАТУРА,Хирургическая нить,"Лигатура — Шелковая, капроновая и т.п. нить для перевязывания кровеносных сосудов с целью остановки или предупреждения кровотечения при операциях."
ЛИГАТУРА,Сплав,"Лигатура — Спец. Вспомогательные сплавы, служащие для введения в расплавленный металл (или сплав) необходимых элементов с целью придания определенных свойств жидкому или затвердевшему металлу.."
ЛИГАТУРА,Примесь,Лигатура это примесь меди или олова к золоту и серебру для придания им большей твердости (хим.). В серебре 84-й пробы 12 долей лигатуры.
ЛИМОНОВЕЦ,Последователь Эдуарда Лимонова,"Лимоновец — сторонник Эдуарда «Лимонова» Савенко. Главное их оружие ― это газета «Лимонка», плакаты, торты, яйца, помидоры и баночки с краской, которыми лимо́новцы закидывают своих оппонентов и здания, в которых те прячутся от «праведного гнева народных масс». … Как только лимо́новцы пересекают ту зыбкую границу, которая отделяет стёб и эпатаж от действий, несущих хоть какую-то угрозу Системе, она начинает активно защищаться, и нацболы немедленно оказываются за решёткой."
ЛИМОНОВЕЦ,Ультрасоциалист,"Лимоновцы это нацболы. Оппозиция. В свое время Лимонов создал Национал-большевистскую партию, которую потому запретили и, кажется, не разрешили до сих пор. Название осталось. Как вы понимаете, они не фашисты, а национал-большевики. Это такой гибрид из национализма и коммунизма."
ЛИМОНОВЕЦ,Левый,Лимоновец — сторонник националистического движения
ЛИМОНОВЕЦ,Социалист,Лимоновец это национал-социолист
ЛИМОНОВЕЦ,Оппозиционер,"Лимоновцы — Оппозиция. В свое время Лимонов создал Национал-большевистскую партию, которую потому запретили и, кажется, не разрешили до сих пор. Название осталось. Как вы понимаете, они не фашисты, а национал-большевики. Это такой гибрид из н"
ЛИМФОМА,Опухоль лимфоузлов,Лимфома — обычно злокачественные новообразования лимфатической и ретикулоэндотелиальной ткани
ЛИМФОМА,Злокачественное новообразование,"Лимфома это злокачественная опухоль, образующаяся измененными клетками иммунной системы"
ЛИМФОМА,Лимфоидная ткань,Лимфома — заболевание протекающая опуханием лимфоидных тканей
ЛИМФОМА,Имунное заболевание,Лимфома — аутоимунное заболевание
ЛИМФОМА,Опухоль,Лимфома — Злокачественная опухоль лимфатических узлов
ЛИНЧЕВАТЕЛЬ,Инквизитор,"Инквизитор — рыцарь при святой церкви, занимающийся умерщвлением неверных"
ЛИНЧЕВАТЕЛЬ,Тот кто призывает к суду Линча,"Линчеватель — тот, кто линчует, призывает к суду Линча"
ЛИНЧЕВАТЕЛЬ,Вершитель самосуда,"Линчеватели это люди устраивающие самосуд над теми преступниками, которых отпустило государство."
ЛИНЧЕВАТЕЛЬ,Палач,"Линчеватели —  вершители правосудия от имени народа, в конце-концов палачи и убийцы."
ЛИНЧЕВАТЕЛЬ,Убийца,"Вершители правосудия от имени народа, в конце-концов палачи и убийцы."
ЛИНЬ,Рыба,"Лигь — рыба Сурrinus tinса, с перьями исчерна-фиолетовыми; водится в озерах и малых тинистых речках и причисляется к роду карпа (виды: чебак, короп, подуст, лещ, карась и пр.). Ходи, как линь по дну, и водой не замути. Линь по дну, а щука поверху."
ЛИНЬ,Морская веревка,"Линь — тонкая веревка белой пряжи, без смолы, но толще полутора дюйма в окружности; идет на лотлинь, сигнальные фалы и пр. Линевой, к линю (веревке) относящ. Линек м. кончик линя, для телесных наказаний на море. Не все линьком, ино и свистком, матросское. Линьковый, линечный, к линьку относящ."
ЛИНЬ,Тонкая нить,"Линь — тонкая веревка белой пряжи, без смолы, но толще полутора дюйма в окружности; идет на лотлинь, сигнальные фалы и пр. Линевой, к линю (веревке) относящ. Линек м. кончик линя, для телесных наказаний на море. Не все линьком, ино и свистком, матросское. Линьковый, линечный, к линьку относящ."
ЛИНЬ,Снасть,"Линь — тонкая веревка белой пряжи, без смолы, но толще полутора дюйма в окружности; идет на лотлинь, сигнальные фалы и пр. Линевой, к линю (веревке) относящ. Линек м. кончик линя, для телесных наказаний на море. Не все линьком, ино и свистком, матросское. Линьковый, линечный, к линьку относящ."
ЛИНЬ,Трехлярдная веревка,"Линь это Трехпрядная веревка не толще полутора дюйма в окружности. Словарь иностранных слов, вошедших в состав русского языка. Чудинов А.Н., 1910. ЛИНЬ тонкая корабельная веревка. Полный словарь иностранных слов, вошедших в употребление в… …"
ЛИПОСАКЦИЯ,Удаление подкожного жира,Липосакция — Косметическая операция по удалению подкожного жира.
ЛИПОСАКЦИЯ,Рассасывание жира,Липосакция это операция по отсасыванию лишнего жира с целью уменьшения веса.
ЛИПОСАКЦИЯ,Отсасывание жира,Липосакция это операция по отсасыванию лишнего жира с целью уменьшения веса.
ЛИПОСАКЦИЯ,Косметическая операция,Липосакция — Косметическая операция по удалению подкожного жира.
ЛИПОСАКЦИЯ,Лечебная процедура,Липосакция это Лечебная или косметическая процедура
ЛИСТЕРИОЗ,Инфекционная болезнь,"Листериоз это острая инфекционная болезнь человека и животных, чаще овец, вызываемая листериями"
ЛИСТЕРИОЗ,Заболевание человека и животных,"Листериоз это (листереллез) острая инфекционная болезнь человека и животных, чаще овец, вызываемая листериями. Симптомы многообразны, часто поражение центральной нервной системы. Человек заражается от животных. Резервуар возбудителя в природе грызуны …"
ЛИСТЕРИОЗ,Болезнь овец,"Листериоз — болезнь человека и животных, чаще овец"
ЛИСТЕРИОЗ,Болезнь вызываемая листериями,"Листериоз — острая инфекционная болезнь, вызываемая листериями."
ЛИСТЕРИОЗ,Острое инфекционное заболевание,"Листериоз — острая инфекционная болезнь человека и животных, чаще овец, вызываемая листериями."
ЛИСТИНГ,Проверка ценных бумаг,"Листинг — Внесение ценных бумаг компаний в список бумаг, котирующихся на данной бирже"
ЛИСТИНГ,Распечатка отчетов ЭВМ,"листинг — Распечатка результатов компьютерных расчетов, текста программы и т. п"
ЛИСТИНГ,Допуск к биржевым торгам,"листинг — Допуск ценных бумаг на биржу. Если выпущенные ценные бумагизарегистрированы на бирже, то можно проводить операции по их купле продаже. Акции, не внесенные в ЛИСТИНГ, продаются с прилавка на, улич ном рынке. Словарь финансовых терминов. Листинг"
ЛИСТИНГ,Внесение акции компании в акции,"Листинг — Внесение акций компании в список акций, котирующихся на данной бирже. Листинг необходим для допуска к биржевым торгам только тех акций, которые прошли экспертную проверку; 2) правила допуска ценных бумаг к торговле на"
ЛИСТИНГ,Бумажная распечатка текста,"Листинг это Распечатка результатов компьютерных расчетов, текста программы и т. п"
ЛИТРОТРИПСИЯ,Камнедробление,Литротрипсия это метод бесконтактного удаления камней — это так называемая экстракорпоральная ударно-волновая литотрипсия.
ЛИТРОТРИПСИЯ,Дробление,"Литротрипсия — Раздробление камня в мочевом пузыре. Словарь иностранных слов, вошедших в состав русского языка. Чудинов А.Н., 1910. ЛИТОТРИПСИЯ раздробление камня в мочевом пузыре. Словарь иностранных слов, вошедших в состав…"
ЛИТРОТРИПСИЯ,Раздробление камня в мочевом пузыре,"Литротрипсия — Раздробление камня в мочевом пузыре. Словарь иностранных слов, вошедших в состав русского языка. Чудинов А.Н., 1910. ЛИТОТРИПСИЯ раздробление камня в мочевом пузыре. Словарь иностранных слов, вошедших в состав…"
ЛИТРОТРИПСИЯ,Разрушение камней в половом органе,"Литротрипсия — Разрушение камня в полом органе (желчном пузыре, лоханке, мочеточнике, мочевом пузыре). Различают ударно волновую бесконтактную литотрипсию и лазерную литотрипсию."
ЛИТРОТРИПСИЯ,Ударно волновая операция,Литротрипсия — Различают ударно волновую бесконтактную литотрипсию и лазерную литотрипсию.
ЛИХТЕР,Морская баржа,"Лихтер — разновидность баржи, грузовое несамоходное безэкипажное однотрюмное морское судно с водонепроницаемым люковым закрытием, используемое для перевозки грузов с помощью буксирных судов и для беспричальных грузовых операций при погрузке или разгрузке на рейде глубокосидящих судов, которые не могут пройти в порт."
ЛИХТЕР,Судно,"Лихтер — разновидность баржи, грузовое несамоходное безэкипажное однотрюмное морское судно с водонепроницаемым люковым закрытием, используемое для перевозки грузов с помощью буксирных судов и для беспричальных грузовых операций при погрузке или разгрузке "
ЛИХТЕР,Мелкое парусное трехмачтовое судно,"Лихтер это мелкое одномачтовое судно для хождения по местам, неудобным для глубоко сидящих судов. 2) в Германии погонная мера, употребляемая в горном деле. Словарь иностранных слов, вошедших в состав русского языка. Чудинов А.Н., 1910. ЛИХТЕР 1)"
ЛИХТЕР,Плоскодонная баржа,"Лихтер это разновидность баржи, плоскодонное судно, для разгрузки и догрузки судов, при переходе через бар, через россыпь или нанос в устье; паузок.буксирных судов и для беспричальных грузовых операций при погрузке или разгрузке "
ЛИХТЕР,Мелкое несамоходное судно,"Лихтер —  палубное, трехмачтовое, плоскодонное судно, для разгрузки и догрузки судов, при переходе через бар, через россыпь или нанос в устье; паузок."
ЛОБЗИК,Пилка,Лобзик — Тонкая обрамленная пилка для узорного выпиливания.
ЛОБЗИК,Нож для узорного выпиливания,Лобзик — Тонкая обрамленная пилка для узорного выпиливания.
ЛОБЗИК,Ручной или ножной прибор с рамкой,"Лобзик это ручной инструмент для узорного выпиливания, а также тонкая узкая пилка в таком инструменте. — Многие ждут не дождутся вечера, когда можно сесть дома, у лампы --- выпиливать лобзиком ажурную рамку. Куприн, Поединок."
ЛОБЗИК,Инструмент с тонкой пилкой,"Лобзик — ручной инструмент для узорного выпиливания, а также тонкая узкая пилка"
ЛОБЗИК,Инструмент для выпиливания ажурных вещей из дерева или металла,"Лобзик это инструмент для выпиливания ажурных вещей из дерева или металла. Словарь иностранных слов, вошедших в состав русского языка. Чудинов А.Н., 1910. ЛОБЗИК инструмент для зажатия ленточных пилочек при выпиливании разных фигур"
ЛОГАРИФМ,Математический показатель,"Логарифм — мат. Показатель степени, в которую надо возвести число, называемое основанием, чтобы получить данное число. Таблица логарифмов."
ЛОГАРИФМ,Функция,"Логарифм — от logos отношение, и arithmos число). Число арифметической прогрессии, соответствующее числу геометрической прогрессии. Словарь иностранных слов, вошедших в состав русского языка. Чудинов А.Н., 1910. ЛОГАРИФМ греч., от logos"
ЛОГАРИФМ,Число в степени,"Логарифм это число арифметической прогрессии, соответствующее числу геометрической прогрессии. "
ЛОГАРИФМ,Возведение числа в степень,"Логарифм это число арифметической прогрессии, соответствующее числу геометрической прогрессии. "
ЛОГАРИФМ,Показатель степени,"Логарифм — Показатель степени, в к-рую надо возвести число, называемое основанием, чтобы получить данное число."
ЛОГИК,Специалист в области логики,Логик это Специалист в области логики.
ЛОГИК,Философ занимающийся логикой,"Логик — Философ, занимающийся логикой."
ЛОГИК,Мастер размышлений,Логик это Специалист в области логики.
ЛОГИК,Дедуктивист,"Логика — область науки, размышления, дедуктика"
ЛОГИК,Знающий законы мышления,"Логик — Знающий законы мышления, здраво и правильно рассуждающий. Словарь иностранных слов, вошедших в состав русского языка. Чудинов А.Н., 1910. ЛОГИК греч. logikos, от logos, рассуждение. Знающий законы мышления"
